data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro;codigo
2025-11-19 01:58:34.480051;C802;TERMINALBAIRRO;99999;TERMINAL/PARADA;TERMINAL ESCOLA PADRE REUS;OTTO NIEMEYER                        ;2870
2025-11-19 01:58:34.480051;2801;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.PROF.CECILIA CORSEUIL,285;PROF CECILIA CORSEUIL                ;3743
2025-11-19 01:58:34.480051;718;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. BAIRRO ILHA MAUA;ILHA MAUA                            ;7182
2025-11-19 01:58:34.480051;EC03;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERM. NO RET. SOB VDT P. BORDA;PINHEIRO BORDA                       ;3145
2025-11-19 01:58:34.480051;T4;NORTESUL;99999;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;T4;NORTESUL;99999;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;T4;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;1102;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   ;24522
2025-11-19 01:58:34.480051;286;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   ;28688
2025-11-19 01:58:34.480051;189;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.BAIRRO RUA DA FE;FE                                   ;1870
2025-11-19 01:58:34.480051;189;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.BAIRRO RUA DA FE;FE                                   ;1870
2025-11-19 01:58:34.480051;4961;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. J DE CASTILHOS/VIGARIO;JULIO DE CASTILHOS                   ;1250
2025-11-19 01:58:34.480051;M68;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;4520
2025-11-19 01:58:34.480051;173;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.DR.PEREIRA NETO/D.PAULINA;DR PEREIRA NETO                      ;1731
2025-11-19 01:58:34.480051;T3;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;264;BAIRROCENTRO;1;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;AV DIARIO DE NOTICIAS;484
2025-11-19 01:58:34.480051;264;BAIRROCENTRO;1;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;AV DIARIO DE NOTICIAS;484
2025-11-19 01:58:34.480051;F993;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.ESTADIO BEIRA RIO - RUA A;PADRE CACIQUE                        ;1670
2025-11-19 01:58:34.480051;F993;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.ESTADIO BEIRA RIO - RUA A;PADRE CACIQUE                        ;1670
2025-11-19 01:58:34.480051;1111;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. EST. SHOP.PRAIA DE BELAS;PRAIA DE BELAS                       ;711
2025-11-19 01:58:34.480051;4925;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. J DE CASTILHOS/VIGARIO;JULIO DE CASTILHOS                   ;1250
2025-11-19 01:58:34.480051;EC01;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;2055
2025-11-19 01:58:34.480051;F993;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;1672
2025-11-19 01:58:34.480051;1112;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA;AV LOUREIRO DA SILVA;887
2025-11-19 01:58:34.480051;LI.2;TERMINALBAIRRO;1;TERMINAL/PARADA;TERMINAL LARGO DA  EPATUR;LOUREIRO DA SILVA                    ;991
2025-11-19 01:58:34.480051;EC06;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;2060
2025-11-19 01:58:34.480051;EC06;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;2060
2025-11-19 01:58:34.480051;476;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.BAIRRO AV. IPIRANGA;IPIRANGA                             ;4761
2025-11-19 01:58:34.480051;346;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
2025-11-19 01:58:34.480051;343;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
